"firstHeading","books","tianfu","tianfu_2star","tianfu_4star","description","user_desc","user_cat"
"刘采春","诗经  全萍梅","同心","负责两小时以上的农牧工作时，一起工作的同伴每有一位女性，额外获得60菜肴。负责两小时以上的农牧工作时，一起工作的同伴每有一位女性，额外获得90菜肴。","负责两小时以上的农牧工作时，一起工作的同伴每有一位女性，额外获得120菜肴。","
介绍
外形特征

身穿平民装的唐代女子，她正拿着一柄木剑泫然欲泣。
性格及经历

多愁善感、心思细腻、勇敢坚韧刘采春自幼聪慧，美貌善歌，亦能诗。成为伶人后，她同伙伴一起演出了不少动人心弦或令人捧腹的戏。她常能与戏中人同喜同悲，善将丰沛的情感谱成动人的曲,供世人传唱。
 逸事：

 逸事：

故事
戏台之上，扮作人妇的伶人演完一场离别之戏后悲恸不止，观者无不动容。尚未尝过太多人间之苦的孩童扯了扯自家阿娘的衣袖：「阿娘，那位姐姐为何哭得如此伤心？」「她是为戏中人的悲伤而哭。」「既然是戏，那她假哭不就好了吗？」妇人擦去眼角不知何时氲出的泪珠，看着身旁一脸懵懂的孩童，又想起远在千里之外的丈夫。自从嫁为商人妇，她已记不清曾多少次含泪目送丈夫的背影。那台上之人，何尝不是为她而哭？「或许她是个心软之人吧，所以才会与戏中人连心，哭得那样真切。」另一边，刘采春款款退至帘后，依然久久无法回神。她拿起随身的琴，将悲伤尽数写进《曲》中。哪怕这场戏已演过数十遍，她仍能对戏中人的悲痛感同身受。她演过太多缺少圆满的故事，遗憾或是怨恨，最终受伤的，似乎总是一个又一个真心错付的女性。思及此，她胸中莫名生出一团火来。旋律在弦上流淌，纵然无法改变人心，她也要借手中琴曲和动人歌喉，将她们的悲伤放到最大声，好让天下人都能听见。
","借问东园柳 枯来得几年 自无枝叶分 莫怨太阳偏","天级角色"
"汤姑","双倍书籍","温液","进行一小时以上的制作工作时，立即完成15%的进度，且额外获得20份随机资源。进行一小时以上的制作工作时，立即完成20%的进度，且额外获得30份随机资源。","进行一小时以上的制作工作时，立即完成25%的进度，且额外获得40份随机资源。","
介绍
外形特征

28岁的女商人，独自经营着汤泉山庄。汤姑捧着一个手炉取暖，正笑盈盈地为来客介绍不同的汤泉种类。
性格及经历

慵懒闲适，最善抚慰人心。汤姑从小便有敏锐的商业嗅觉，她在白雪镇发现了天然温泉，便在此地用心经营。如今，汤泉山庄已成为江南居民冬日休闲的绝佳去处。
 逸事：

 逸事：

故事
「你看起来倦得很，去兰汤里休息休息，然后好好睡一觉吧。我还在汤泉里加了丁香，是免费赠送的哦。」「七叶莲与香石藤煎煮，能使肌肤润泽。你为家人操劳了一年，就让今天只属于你自己吧。」「九节风汤药包最适合肌肉酸痛的人了。哦？你连半天假日都没有嘛？这可不好，身体康健才能好好劳作啊。」汤姑独自掌管汤泉山庄，每日悉心招待每个前来休憩的旅人。时近新年，慕名前来的人也越来越多，但汤姑总是从容不迫。她耐心倾听每个人，并为大家量身定制不同功效的浴药包。做完这一切后，汤姑如一只在冬日里晒太阳的狸猫般，惬意地伸了个懒腰，然后倚在山庄二楼的栏杆边向下望：薄雪覆在圆石上，观之可爱；热气腾腾的汤泉池中，人们悠闲地攀谈着。「要过年了，明日该多买些红灯笼来布置才好啊。」汤姑心想。她知道，人们积累了一整年的疲惫来到汤泉山庄，想得到的并不是一味能逆转人生的灵丹妙药，而是片刻忘却烦恼的时辰。","汤泉沸沸水上烟 砌石拥雪映冰清 谁道世上辛劳事 水濯发肤言洗心","天级角色"
"马秀英","诗经  黄帝内经","慈德","在进行制作工作时，立即完成8%，消耗菜肴减少50%，所需工人-3。在进行制作工作时，立即完成15%，消耗菜肴减少70%，所需工人-4。","在进行制作工作时，立即完成25%，消耗菜肴减少100%，所需工人-5。","
介绍
外形特征

大明皇后，头戴凤冠，神情却十分慈爱。马皇后正向朱元璋摆手，劝诫他莫要喜怒无常。
性格及经历

性格敦厚仁爱，平易近人。经历无论朱元璋低为乞儿还是贵为天子，马秀英都始终陪伴其左右。朱元璋的暴脾气也只有她一人能规劝。
 逸事：

 逸事：

故事
黄花梨榻上，一向康健的马皇后显得有些虚弱。院外，御医们伏了一地，个个战战兢兢。此时，朱元璋急得来回踱步，指着御医们大骂:「养你们有什么用?倒不如全都拖下去……」朱元璋青筋暴起，树上的鸟儿惊飞，地上的御医抖得像筛子。「咳咳。」在此情急之时，屋内传出马皇后的声音。一向杀伐果断的朱元璋顿时忘了自己要说什么，忙进去关切询问:「妹子，你又咳嗽了，一定是被那些庸医气的!」马皇后扶着额头，勉力摆摆手:「那些人，都…」「朕知道朕知道，都重罚!」一向仁慈的马皇后本想示意朱元璋不要责怪臣下，她一听这话，咳得更厉害了:「咳咳咳!我这病，都是被你气的!!!」","慈范仪乾坤 凤冠映日辰 黎庶观仰者 旧年赠衣人","天级角色"
"柳永","诗经  全萍梅","欢宴","建造娱乐建筑时，所需资源类消耗减少10%，且所需工人-1。建造娱乐建筑时，所需资源类消耗减少15%，且所需工人-3。","建造娱乐建筑时，所需资源类消耗减少20%，且无需额外工人。","
介绍
外形特征

手执毛笔的落魄文人，他正往扇面上题词。
性格及经历

潇洒恣意、敢于打破陈规柳永没能如最初的预想一般驰骋官场，却将一腔才情尽数写成词章。他以文字雕琢众生百态，也写尽生活的感悟，拂去史书的灰尘，他依然是那颗才情闪耀的明珠。
 逸事：

 逸事：

故事
柳永再一次出现在江南贡院时，引来不少人围观。「柳三变，你又来了啊，这是第几次了？」「柳兄这次定是要拿榜首的！毕竟经验颇丰嘛，可比我等强多了。」四面八方涌来的言语化成利刃，直戳向柳永心口，而他只是无所谓地大笑：「考完记得来天香楼赴宴，我请诸位吃酒！」搁笔那一瞬，柳永曾升起过片刻希冀，很快又被他压了下去。也许比起金榜题名的欣喜，他更习惯一种不被认可的痛，这痛会刺破晓风残月，刺破笙歌曼舞杨柳轻烟，令他于浮生醉梦中获得片刻清醒。那年金殿之上，御笔在他的名字前画了个圈，自此禁锢了他人生的万般可能。他挥袖离去，日夜浅斟低唱，屡次开创新的词章，以最潇洒的姿态赢得一身风流名。然而终究是遗憾。他一次又一次奔赴考场，似一只固执的鸟，于世人的目光中一次次撞向南墙。成功与否，早已无关紧要。他起身走出贡院，在大门处停步。身后是三千学子奋笔疾书，身前是一川烟雨锦绣。无论进退，他都是那个行走于天地、独一无二的柳三变。江南自古繁华，不如遍赏好景，归去凤池夸。
","此去经年 应是良辰好景虛设 便纵有千种风情 更与何人说","天级角色"
"薛涛","诗经  史记","辩慧","在商业建筑中工作时，铜钱收入提升50%，并且有4%的概率立即完成本次生产。在商业建筑中工作时，铜钱收入提升100%，并且有8%的概率立即完成本次生产。","在商业建筑中工作时，铜钱收入提升150%，并且有12%的概率立即完成本次生产。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
薛涛的诗笺铺在江南开张了，店内宾客盈门，订单不断，人人都能买到曾经万金难求的浣花笺。薛涛游刃有余，正为客人量身推荐：「若想素雅些，可以选这款浅青色，有水波暗纹。若要俏丽些，就选这款明黄色。」见来挑选的姑娘犹豫不决，薛涛接着说：「若是纠结，就买店里的深红小笺，用来写小诗，准不出错。」「我哪个都喜欢，哪个也舍不下。只是囊中羞涩......」「那也好办，你买这款深红小笺，我再送你两张不同的，如何？」姑娘听了爽快付钱，薛涛又做成一单生意。此时，角落处有一人冷眼旁观已久，嗤笑道：「没想到诗坛上名动一时的文妖也成了商人，变得如此市侩了？」「若自食其力也是市侩......」说到一半，薛涛心想何必与他争辩，于是另起话头，云淡风轻地问道：「你这么说，该不会也想让我如对那位姑娘一般，多送你两张诗笺吧？」
","去春零落暮春时 泪湿红笺怨别离 常恐便同巫峡散 因何重有武陵期","天级角色"
"干将","水浒  黄帝内经","熔炼","在城市中负责1小时以上的制作工作时，所需的资源减少15%，与莫邪入住同一城市时，额外获得50%的资源。在城市中负责1小时以上的制作工作时，所需的资源减少25%，与莫邪入住同一城市时，额外获得80%的资源。","在城市中负责1小时以上的制作工作时，所需的资源减少35%，与莫邪入住同一城市时，额外获得100%的资源。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
南山上，松石后，山洞里的炉火不知疲倦地在暮色中跳动着。火星子映出干将轮廓分明的脸，又跃上他赤裸的胳膊，在上面灼出一道雷电状的疤。干将丝毫没有感到疼痛，只是不停地淬炼、浇铸、锻打。为了最后一刻从烈火而出的剑锋寒光，他能让蛟龙捧炉，天帝装炭。若不是妻子莫邪提醒，他竟不知自己已有十个日夜不眠不休，不言不语。干将想起自己的老师欧冶子--当年他意气风发地走入这个洞窟，再捧着纯钧剑出来时已是两鬓斑白。痴者是感受不到时间流逝的，而干将，生来注定为铸剑而痴。","","天级角色"
"范泊宁","三国志  史记","海贸","在宁波府的商船中负责订单工作时，额外获得80%的订单道具。在宁波府的商船中负责订单工作时，额外获得120%的订单道具。","在宁波府的商船中负责订单工作时，额外获得160%的订单道具。","
介绍
外形特征

高挑精瘦，神情冷酷，身上带着航海舆图和罗盘。范泊宁正在远眺，判断今日是否适合远航。
性格及经历

性格面冷心热，意志与智商都强于常人，痴迷于关于航海的一切。经历儿时无人照拂的范泊宁被范钦收为义女，因此得以遍读关于航海的书籍。长大后的范泊宁与张舟师结识，都立志于航海经商的两人决定合伙成立船队。后来，范泊宁将行船所赚的钱财都用来建养育院，专门收养失去父母的船员们的孩子。
 逸事：

 逸事：

故事
船收了帆桨，停靠在泊口。这一次收获颇丰，但船主范泊宁仍像往常一样，面无口表情地下了船。此时，范泊宁的目光停在了一个小女孩身上。那女孩衣衫褴褛，不安却又坚定地又站在黏糊糊的岸边石路上，远眺着波光粼粼的水面与来往的船只。恍惚间，范泊宁似乎看到了曾经的自己。小时候的她就是这样，一天天沉默不语看来码头看船。范泊宁已想不起自己痴迷看船的原因，她只隐约记得，自己是在一艘威风漂亮的大船上出生长大的。后来，一只宽厚的大手牵着她走进了天一阁。小小的范泊宁那时并不知，自己已幸运地被天一阁主人范钦收为义女。她来不及缅怀过往，也顾不上担忧未来，那满楼的书籍成了她的希望之舟。从此，范泊宁孜孜不倦地读遍了所有关于航海的望书籍，很快成了独当一面的船主。范泊宁从往事中回过神来，走向那个小女孩。她蹲下身，将身上的罗盘递给女孩：「你想出海，是不是？」「这就是罗盘？这就是能让大船在海中辨別方向的东西？」「没错。」范泊宁擦了擦陪她在海上经历过许多风雨的罗盘，「往后，它就是你的了。」范泊宁说完转身离开，只留女孩愣在码头的喧嚣声中。她知道，自己同时留下的又还有一样东西——希望。
","朝舟发四明 顺风自相送 沧溟一桴意 自在乘长风","天级角色"
"道济","水浒  西游记","破矩","负责制作工作时，额外获得170%的资源；但做任意工作时，都有15%的概率不想去工作。负责制作工作时，额外获得300%的资源；但做任意工作时，都有10%的概率不想去工作。","负责制作工作时，额外获得400%的资源；但做任意工作时，都有5%的概率不想去工作。","
介绍
外形特征

22岁的年轻僧侣，身穿破旧法衣。他一手拿佛珠做礼佛的手势，腰间挂着一只酒葫芦。
性格及经历

乐善好施、不拘一格、外俗内仁喜爱道济的人，知道他是一位学识渊博、行善积德的高僧。不喜爱他的人，常常称其为济癫。然而这些俗世杂音对道济本人来说皆不足过耳。他心中有自己的道，哪怕逆流而行，亦从不动摇。
 逸事：

 逸事：

故事
传说道济出生那日，国清寺罗汉堂内的第十七尊罗汉突然从高台上倾倒，仿佛从云端坠入人间。彼时恰逢虔诚拜佛多年的李父赶往国清寺请住持为爱子赐名，见此异状大为震惊。住持念了句禅语，挥笔写下「李修缘」三个字。此事一传十，十传百，李修缘也从高门贵子被传为罗汉转世，就此与佛门结缘。在瑞霞洞求学归来后，他终于弱冠之年不负众望地皈依佛门。然而，此后的道济禅师，却再也不愿按人们所期待的那样活着。他屡屡犯戒，难耐坐禅，也不喜念经，甚至言行狂悖，如疯似魔。有人说他是受了蛊惑坠入魔道，要将他逐出佛门。但与此同时，他又苦修医术，惩恶扬善，扶危济困，于百姓中获得「活佛」的美名。是清也是浊，是毁也是誉，是佛也是魔。他深知人间疾苦，脸上却常常带笑。他破衣草鞋蒙尘，却似一面照破人心的明镜。佛门广大，岂不容一癫僧？俗人千万，难得一颗佛心。
","几度西湖独上船 篇师识我不论钱 一声啼鸟破幽寂 正是山横落照边","天级角色"
"徐妙云","论语  黄帝内经","齐心","负责任意工作时，立即完成5%进度，且与朱棣入住同一城市时，双方负责工作时的属性变为1.1倍负责任意工作时，立即完成10%进度，且与朱棣入住同一城市时，双方负责工作时的属性变为1.15倍","负责任意工作时，立即完成15%进度，且与朱棣入住同一城市时，双方负责工作时的属性变为1.2倍","
介绍
外形特征

衣着淡雅的少女，她正手捧着白玉观音，温柔含笑。
性格及经历

贞静聪慧、德才兼备徐妙云生于将门之家，文武兼备，聪慧过人，自幼便与朱棣结下不解之缘。成婚后，二人更是宛如知己，相携走过了漫长的岁月。
 逸事：真心
徐妙云常听人称赞她与朱棣的感情世间罕有，可于他们来说，那些流传出去的所谓恩爱证明，不过是最为寻常的生活琐碎。她始终认为，日子平淡，容颜易老，唯有一颗真心能支撑有情人走过漫长岁月，在多年后回望时，依然感谢对方陪伴在自己身边。
 逸事：

故事
边境传来战报，朝廷派军讨伐，很快大获全胜，万民同庆。然而宫殿之内，仍有一场大战一触即发。徐妙云盯着面前沙盘中高低起伏的山川河流，仔细思考着排兵部署。对面的朱棣神色凝重，也正在思量一条万全之策。
「兵贵神速，我方舍弃大道，沿此小路行军，不出十日，必能兵临你方城下。」
朱棣拿起一只泥人，蜿蜒越过几处山谷。徐妙云闻言一笑，伸手轻点盘中某处：「此乃你军必经之地，无论你走哪条道，我只需在此埋伏，便能重挫你方士气。」
朱棣再次陷入沉思，二人你来我往，迟迟难分胜负。午膳时辰已过，徐妙云腹中传来饥响，但见朱棣兴致未减，便不打算作声。未料对面的人忽甩了甩袖袍站起身来：「肚子饿了，本帅先去用膳，容后再战。」徐妙云望着他难得展露的少年气，忍不住笑了笑。他们总是这样，即便不说一言，也能时刻察觉对方所需，那是自年少便培养出的默契。
行至门边的朱棣忽想到什么，回身问道：「眼下我们不过是推算演练，若有一日我当真率兵远征，又逢敌军来扰，你当如何？」
徐妙云想了想，并未作答。但在往后的岁月里，她曾以自己的方式给出过最好的答案。那便是克服一切艰险，哪怕只能领着城中妇小，也要坚守到最后一刻，等他回来。

","云高燕地间 解语献嘉言 飞雁羡无双 契阔年复年","天级角色"
"计成","天工开物  道德经","造景","建造新建筑时，立即完成35%的进度；且所需工人-1。建造新建筑时，立即完成40%的进度；且所需工人-2。","建造新建筑时，立即完成50%的进度；且所需工人-3。","
介绍
外形特征

远近闻名的叠山师，《园治》作者，昊江同里人士。他一身白丁打扮，手持一块精巧的太湖石，正在思考下一步造园计划。
性格及经历

性格爽朗，擅巧思，师法自然。
经历
计成米到江南后，对富商们附庸风雅的要求感到厌倦，开始设法为寻常百姓造景。他认为，即便是片山斗室，也能让胸中丘壑化为现实。

 逸事：

 逸事：

故事
计成受顾半城邀请来江南为其造园，竣工后，前来观赏的人无不称叹其造景宛自天开。自此计成名声大噪，许多富商欲花重金聘请计成造园。可风头无二的计成拒绝了一干人等，反而接受阿吴这个小石匠的请求：「计大哥，没想到你拒绝了富商们，反而来帮我造园。」
「那些人一味附庸风雅，不去也罢。」
「只是我这陋室敝院实在寒碜，怕浪费了您叠山造园的造诣……」
「不要紧。」计成向来觉得，园林之艺不应为富贵人家独享，寻常百姓的生活更需要点缀。他大手一挥，示意阿吴无需为此担心。
计成抖开折扇，在院中信步转了一圈，心里已然有了主意：「你看这处灌木看似寻常，却是临水而照，稍加修饰便意境自生。此处土坡高低不平，坑坑洼洼，却极适合叠石头。」
阿吴似懂非懂，但经过计成一番设计，从前不起眼的小院子如今也成了街巷一景。
自此，江南的普通人家也敢聘请计成为其造景。计成并不计较报酬多少，在他心中，为百姓改造这些片山斗室远比为达官显贵造园更重要。

","窗牗无拘 随宜合用 栏杆信画 因境而成","天级角色"
"段成式","诗经  西游记","神笔","林场，竹林，漆树林，或桐油种植园工作时，额外获得150%的资源，且所需工人-2。","林场，竹林，漆树林，或桐油种植园工作时，额外获得300%的资源，且所需工人-4。","
介绍
外形特征

头发披散，长衫略敞。段成式正站在一棵金色如愿树前，写作《酉阳杂俎》。
性格及经历

性格洒脱叛逆，一派天然。
经历
虽出身高门大族，但段成式终日只醉心博物异闻、信读佛经。传说，他曾因机缘巧合进入山海世界，得到了神奇的酉阳笔。

 逸事：

 逸事：

故事
段成式儿时常年跟随做节度使的父亲转徙各地，识得了各地风士人情，趣闻奇物。段成式醉心于此，无心世俗名利。某日，段成式见一截鲛人尾巴消失在巷尾，他匆匆追去却亳无所获。但从那时起，段成式发现自己竟能自由往来于江南与山海世界之间。
他折下如愿树金色的枝条作笔，惊觉此笔无需沾墨就能续用。此笔在江南时平平无奇，但在山海世界里却能写活奇花异草，这成了段成式最欣喜的秘密。

","天予金玉锦绣段 偏向空谷山水藏 痴近神鬼志博物 式杂造化书酉阳","天级角色"
"肖含珠","三国志  黄帝内经","还珠","在城市或商行种负责理财工作时，所需的道具或货物类消耗减少10%。在城市或商行种负责理财工作时，所需的道具或货物类消耗减少15%。","在城市或商行种负责理财工作时，所需的道具或货物类消耗减少25%。","
介绍
外形特征

一名14岁的神秘女孩，拥有海藻股的长发，身上遍布珍珠所制的装饰。她正托着蚌壳，观察一枚圆润的珍珠。
性格及经历

古灵精怪、热爱冒险肖含珠一直同家人居于浅海，度过了漫长又普通的岁月。直到那日她见到郑和的船队归来，带回大量稀奇物品，她才知海洋之外竟有那样广阔的世界。远行的种子在她心中生根发芽，最终促使她来到棕影岛，寻找加入船队的机会。

 逸事：

 逸事：

故事
郑和的船队带着大量异城物品归来那日，肖含珠和爷爷就趴在最大的那艘船肚子底下偷偷望着。各种珍奇物品被抬了下来，她小心翼翼将头抬高，深怕错过了什么。等到船上下来一只高大无比、脖子长长的动物时，她心中被点燃的念头再也无法忽视：「爷爷，我也要去远海！给你带好多稀奇玩意儿回来！」她语气坚定，一如往常。
自儿时起，她便对未知世界充满向往，总趁爷爷不注意往深海游去。尽管她已听过不少关于深海的危险传说，好几次还差点葬身鱼腹，可远方依然似一枚诱人的饵，吸引着她一次次奋不顾身。而这方终年平静的海湾，此刻倒更像是困住少女的牢笼。
爷爷闻言叹了口气，最终什么也没说，自肖含珠第一次偷跑出家门，他便知晓迟早会有这么一天。
某个风和日丽的晴日，棕影岛上忽然多了一位卖珍珠的小姑娘。她来路去向成谜，言行举止亦十分与众不同，不仅总有各种各样质量上乘的珍珠，还常向百姓们打听出海船队和郑和的消息。
人们提起那个古灵精怪的小姑娘，总有说不完的话，却无人知道她小小的身体里，藏着一个探素海洋的宏大夙愿。

","金沙软玉床 鱼脊珊瑚屋 海底幽无涯 蚌开明月出","天级角色"
"红拂","论语  道德经","夜奔","探索新区域时，立即完成15%的进度，且有10%的概率无需铜钱。探索新区域时，立即完成20%的进度，且有15%的概率无需铜钱。","探索新区域时，立即完成25%的进度，且有20%的概率无需铜钱。","
介绍
外形特征

25岁的侠女红拂手持浮尘，神清冰冷。长安的夜色中，她正站在连绵的屋顶上，朝江南方向眺望。
性格及经历

性格：自我，追求自由。经历：红拂有一双识别英雄的慧眼，她广结能人，希望有朝一日能得遇明主。但在内心深处，她只愿成就自己。

 逸事：

 逸事：

故事
夜风猎猎，红拂立于飞檐上极目远眺。江南繁荣安乐，但远方未知的夜色却映入红拂眼眸，让她再次有了去意。一旁段成式已然大醉，啰啰嗦嗦说起醉话来：「红拂，我敬你。敬你毅然离开书院跟舞班子走南闯北；敬你离开舞班，进入杨府；敬你逃离杨府，另觅良人；敬你慧眼识人，及早抽身，这才能碰巧救我于水火。如果没有你的果决，我们永远没法相识。」
「江南如此美妙，难怪段兄想在此安居。」红拂的身影在夜色中若隐若现，「我已决定要与商队同去西域，我要见见那里无边的黄沙。」
段成式知道，自由如红拂，江南留不住她，西域也不会是她最后的归宿：「我素爱自由，曾以为自己是世上最叛逆不羁的。但与你一比，我甘拜下风！来，敬漂泊！」
红拂接过酒壶，驿站的驼铃声声催促。
她只知要一往无前，唯有不断放手。一次次别离让红拂越发笃定自己的选择，她必须亲自破开无处不在的茧，迎接命运回馈的崭新奇遇。

","一拂遥意 羁栖游红 都道慧眼辨英雄 不知岩鸟更欲飞","天级角色"
"公输般","天工开物  黄帝内经","巧斧","负责家具打造或升级工作时，立即完成12%的进度，不需要花费铜钱。负责家具打造或升级工作时，立即完成18%的进度，不需要花费铜钱，反而获得50%的铜钱收入。","负责家具打造或升级工作时，立即完成24%的进度，不需要花费铜钱，反而获得100%的铜钱收入。","
介绍
外形特征

生于鲁国的天才营造少年，身穿平民服饰，肩背工具袋，手中正举着一只木鹊。
性格及经历

聪慧勤勉、临危不惧、骄傲公输般自幼便明白自己的兴趣所在，也恰好在发明营造一事上极有天分。他不光能制作各种实用工具，也能为孩子们制造千奇百怪的玩具。
 逸事：有用
其实公输般也不明白，他心中那股迫切想要做些什么的劲头究竟从何而来。脑海里天马行空的想法好似雨后春笋般不停冒出，若不能及时得到验证，他便辗转难眠，连饭都吃不香。只是此时的他尚且年幼，还无法理解太多关于人生的宏大思考，他只知道，在看到人们脸上笑容的那一刻，自己也会发自内心感到快乐。做个有用的人，将是他一生为之努力的夙愿。
 逸事：

故事
顾小九听闻江南来了一位天才营造大师，正欲择日登门拜会，却率先收到对方送来的战书。那是一只精巧的机关玩具，本是出自顾小九的设计，如今不仅被人破解，还被加以改造，她费了好大力气才将其重新解开，看到那张静静躺在其中的字条：「无聊。」
顾小九从未觉这两字如此扎眼，她当即回信一封，约对方三日后于湖边凉亭中一较高下。然而对决当日，出现在她面前的，竟是一个总角之年的半大少年。
「姐姐，我听人说你设计了很多好玩的玩具，想找你切磋一番！」
少年笑得真诚，顾小九一时无法将他和那封战书联系起来，直到他从袋子里拿出几十只大小不一的机关玩具。
那日，他们从日出战到日暮，互相解遍了对方设计的所有机关。顾小九大呼痛快，并写了一封长长的信给知府大人。自此以后，公输般的声名便如他手中木鹊一般扶摇直上。
「这孩子必定前途无量啊，将来没准儿能封侯拜相呢！」
人们见到小公输，总忍不住这样由衷夸赞，但他每每听到都会露出鄙夷的神情：
「封侯拜相有什么意思？我想要的是创造更多于百姓有益的发明，在史书留下我的名字！」

","稚子执刻刀 琢木细分毫 云梯玄鸟翼 壮志攀云霄","天级角色"
