"firstHeading","user_name","zhenbao_desc","cat"
"阴阳剑","干将","","专属珍宝"
"罗盘","范泊宁","地螺或有子午正针，或用子午丙壬间缝针。","专属珍宝"
"破蒲扇","道济","","专属珍宝"
"白玉观音","徐妙云","玲珑剔透的观音雕像，徐妙玉每天都会虔诚参拜。","专属珍宝"
"太湖石(珍宝)","计成","","专属珍宝"
"珠袋",NA,"肖含珠存放珍珠的袋子，听说可随意变幻大小。","专属珍宝"
"酉阳笔",NA,"用金色的如愿树枝做的笔，段成式在山海世界意外得到了它。","专属珍宝"
"红色拂尘",NA,"红拂总带着它，拂去前路一切烦恼与阻碍。","专属珍宝"
"云梯",NA,"假装这是公输般的专珍。","专属珍宝"
"海上仙山画卷",NA,"江南揽胜图的最后一卷，如今挂在卫寻彩与周游越的家中。","专属珍宝"
"则天诏令",NA,"上官婉儿奉命拟的诏令，武则天向来满意。","专属珍宝"
"骑凤仙人",NA,"成凤羽亲手制作，据说只要在屋脊安上此物就能逢凶化吉。","专属珍宝"
"龙骨车",NA,"改进灌溉工具所用模型——王祯希望龙骨车能让天下农田俱不荒芜。","专属珍宝"
"开封日志",NA,"公孙策在里面记录着开封府的日常琐事","专属珍宝"
"青铜雁足灯",NA,"一盏青铜制作的灯，照亮了无数个属于东方祚的夜晚。","专属珍宝"
"蚕眠桑叶",NA,"桑岷从蜀地带回来的桑叶，蚕宝宝十分喜爱。","专属珍宝"
"楠竹戒尺",NA,"是吕穹生常拿于手中之物，却从未发挥作用。","专属珍宝"
"兽首玛瑙杯",NA,"百里安精心复刻的酒杯，是店里的招牌产品。","专属珍宝"
"缂丝木梭",NA,"一把看似不起眼的木梭，却刻画出了许多伟大的作品。","专属珍宝"
"红鸾铜镜",NA,"红鸾铜镜的镜面古朴幽深，传说它能照出内心最真实的想法。","专属珍宝"
"邮包",NA,"这是马远道驿使生涯的起点。","专属珍宝"
"骑驴竹简",NA,"比起大名，诗人张山归更喜欢人们称呼他的诨名--张骑驴。","专属珍宝"
"荷叶玉佩",NA,"一枚荷叶形状的玉佩，深得余妙年喜爱。","专属珍宝"
"镇妖宝塔",NA,"一座据说能镇妖的宝塔，是乔溪午高价从一位道士处购得。","专属珍宝"
"卧儿兔",NA,"雪白柔软，据说涂南山习惯在冬日入眠时佩戴。","专属珍宝"
