"node_info","tianfu_property","zhuangbei_property","zhenbao_name","tianfu","zhenbao_lvl"
"装备时","装备时","","天工开物/专属","天赋宋应星","初始"
"装备时","装备时","","天工开物/专属","天赋宋应星","20"
"装备时","装备时","","天工开物/专属","天赋宋应星","30"
"装备时","装备时","","天工开物/专属","天赋宋应星","40"
"探险属性提升4%。干宝装备时探险属性提升4%。在晚上工作时，探险属性额外提升15%。","探险属性提升4%。","探险属性提升4%。在晚上工作时，探险属性额外提升15%。","搜神记","天赋：夜游","初始"
"探险属性提升6%。干宝装备时探险属性提升6%。在晚上工作时，探险属性额外提升18%。","探险属性提升6%。","探险属性提升6%。在晚上工作时，探险属性额外提升18%。","搜神记","天赋：夜游","20"
"探险属性提升8%。干宝装备时探险属性提升8%。在晚上工作时，探险属性额外提升21%。","探险属性提升8%。","探险属性提升8%。在晚上工作时，探险属性额外提升21%。","搜神记","天赋：夜游","30"
"探险属性提升10%。干宝装备时探险属性提升10%。在晚上工作时，探险属性额外提升25%。","探险属性提升10%。","探险属性提升10%。在晚上工作时，探险属性额外提升25%。","搜神记","天赋：夜游","40"
"农牧属性提升4%。刘采春装备时农牧属性提升4%。更容易吸引女性一起工作。","农牧属性提升4%。","农牧属性提升4%。更容易吸引女性一起工作。","桃木面具","天赋：兰友","初始"
"农牧属性提升6%。刘采春装备时农牧属性提升6%。更容易吸引女性一起工作。","农牧属性提升6%。","农牧属性提升6%。更容易吸引女性一起工作。","桃木面具","天赋：兰友","20"
"农牧属性提升8%。刘采春装备时农牧属性提升8%。更容易吸引女性一起工作。","农牧属性提升8%。","农牧属性提升8%。更容易吸引女性一起工作。","桃木面具","天赋：兰友","30"
"农牧属性提升10%。刘采春装备时农牧属性提升10%。更容易吸引女性一起工作。","农牧属性提升10%。","农牧属性提升10%。更容易吸引女性一起工作。","桃木面具","天赋：兰友","40"
